# rbtest
#	n	mean	min	max
	100000	0.017925203661492545	0.017009034960000002	0.02483124196
	200000	0.04408037896000001	0.04233810296	0.05428110596
	300000	0.07359901987891893	0.07213996496	0.08073328796
	400000	0.10992729234461537	0.10704718396	0.12224180396
	500000	0.1540515630126316	0.15123902296	0.16618556196
	600000	0.20549965246000004	0.20028283696000002	0.22174141696000002
	700000	0.26101000826	0.25640900896	0.27055280296
	800000	0.32753809956	0.32061205196000003	0.33444568596
	900000	0.39503718366000007	0.38743208596	0.40466082196000003
	1000000	0.4681097996600001	0.46084826396	0.47702303496000004
	2000000	1.32906415836	1.3186798159600002	1.33940555896
	3000000	2.36569490756	2.34080888496	2.40347849496
	4000000	3.52057903406	3.4815584349599997	3.55546548896
	5000000	4.7538631985599995	4.733505339960001	4.7712797159600004
	6000000	6.07426708906	6.038139788960001	6.1393128289600005
	7000000	7.433629355660001	7.41519174196	7.45315286796
	8000000	8.852390277660001	8.82338867296	8.88468415296
	9000000	10.48268691016	10.30604401796	10.76751756296
	10000000	11.84256509156	11.777524760959999	12.041423157959999
